,label,text
1318,spam,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
2574,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
3550,ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
5394,ham,I dont know exactly could you ask chechi.
1438,ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
968,ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
2717,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
4613,ham,Sorry da. I gone mad so many pending works what to do.
871,ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
5429,ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
2591,ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
1294,ham,Happy birthday... May all ur dreams come true...
1122,spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
3495,spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
2058,ham,"Nothing, i got msg frm tht unknown no.."
3794,ham,Hey are you angry with me. Reply me dr.
4189,ham,Mm umma ask vava also to come tell him can play later together
5563,ham,Ard 6 like dat lor.
3166,ham,Cheers for the card ... Is it that time of year already?
701,ham,How much r ü willing to pay?
789,spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
1683,ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
4835,ham,I hope your pee burns tonite.
3554,ham,Din i tell u jus now 420
1499,ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
3468,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
2821,spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
1770,ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
1531,ham,I think chennai well settled?
3490,ham,I'm also came to room.
5158,ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
460,ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
2552,ham,I'm done. C ü there.
920,ham,Dont talk to him ever ok its my word.
1137,spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
2841,ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
3974,ham,"Night night, see you tomorrow"
3966,ham,Love you aathi..love u lot..
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
1411,ham,Pls speak to that customer machan.
480,ham,When're you guys getting back? G said you were thinking about not staying for mcr
3133,ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
2401,ham,Hi! This is Roger from CL. How are you?
3130,ham,"Haha better late than ever, any way I could swing by?"
5297,ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
825,ham,Have a good evening! Ttyl
4063,ham,Hi dear we saw dear. We both are happy. Where you my battery is low
4303,ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
2647,ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
4919,ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
1847,ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
751,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
2690,ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.."
4862,ham,Nokia phone is lovly..
4373,spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
2120,ham,I hope you know I'm still mad at you.
4051,ham,Ok ok take care. I can understand.
399,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
2907,ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
814,ham,I borrow ur bag ok.
799,ham,Ok i msg u b4 i leave my house.
4792,ham,Send me your resume:-)
2622,ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
3739,ham,We stopped to get ice cream and will go back after
2445,ham,"Yes but i dont care! I need you bad, princess!"
3733,ham,Gud mrng dear hav a nice day
3957,ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
4225,ham,Double eviction this week - Spiral and Michael and good riddance to them!
592,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
2246,ham,How did you find out in a way that didn't include all of these details
4969,ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
2840,ham,"Easy mate, * guess the quick drink was bit ambitious."
1864,ham,I'll let you know when it kicks in
